Country,City,Temperature,Latitude,Wind Speed,Humidity,Cloudiness
ID,Sibolga,20.15,1.74,0.68,100,92
KI,Butaritari,29.02,3.07,7.73,100,20
CL,Punta Arenas,10.8,-53.16,5.1,71,0
MK,Poum,1.67,41.28,0.73,71,92
PF,Faanui,29.3,-16.48,3.28,100,64
NZ,Ahipara,22.9,-35.17,7.73,69,88
MZ,Inhambane,25.8,-23.87,7.73,89,100
AU,Jamestown,15.42,-33.21,3.23,83,0
RU,Chokurdakh,-19.43,70.62,6.98,86,44
JP,Hasaki,12.08,35.73,2.1,30,0
AR,Mar del Plata,16.27,-46.43,3.48,57,0
BR,Alta Floresta,23.9,-9.87,0.93,96,64
BR,Baiao,25.07,-2.79,1.08,93,88
LY,Zuwarah,17.92,32.93,4.93,65,0
US,Choctaw,18.51,35.5,3.1,36,20
NP,Jumla,-7.36,29.28,0.88,55,0
ZA,Hermanus,18.33,-34.42,6.26,78,88
SO,Hobyo,27.12,5.35,5.23,89,92
US,Lompoc,17.58,34.64,3.6,77,75
RU,Vrangel,0.65,42.73,4.08,100,56
CA,Tuktoyaktuk,-7.0,69.44,5.7,92,75
AU,Bluff,28.8,-23.58,4.13,57,48
FO,Klaksvik,7.0,62.23,1.0,75,64
MG,Beloha,21.22,-25.17,0.28,90,0
CK,Avarua,30.0,-21.21,2.6,79,36
BR,Touros,26.0,-5.2,1.5,94,40
AU,Busselton,17.22,-33.64,6.48,49,12
US,Sitka,19.44,37.17,4.02,50,24
PF,Atuona,28.02,-9.8,5.88,100,8
NZ,Mataura,12.78,-46.19,8.94,74,24
AO,Namibe,24.77,-15.19,3.73,100,20
AR,Ushuaia,11.0,-54.81,2.1,76,75
US,Vardo,4.28,39.62,1.5,28,1
GL,Qaanaaq,-25.78,77.48,6.03,83,32
TM,Gazojak,11.32,41.19,2.58,97,100
GY,Georgetown,26.45,6.8,4.1,78,20
RU,Provideniya,1.0,64.42,15.0,86,75
VG,Road Town,25.87,18.42,3.1,74,20
ZA,Cape Town,17.88,-33.93,4.1,63,0
HT,Derac,22.67,19.65,2.03,100,80
US,Willmar,7.47,45.12,3.6,81,90
NZ,Te Anau,10.65,-45.41,5.23,73,24
CA,Thompson,5.0,55.74,3.6,60,90
MU,Mahebourg,25.46,-20.41,1.0,88,75
ML,Taoudenni,19.17,22.68,0.63,87,100
BN,Victoria,25.76,5.28,1.88,94,75
BM,Hamilton,19.73,32.3,11.3,94,90
CA,Sioux Lookout,3.0,50.1,4.1,64,90
PT,Ribeira Grande,16.37,38.52,2.43,96,32
ZA,Bredasdorp,19.11,-34.53,5.7,68,76
AU,Palmer,19.73,-34.85,2.6,55,0
CA,Yellowknife,-1.98,62.45,5.7,68,90
GL,Nanortalik,-4.08,60.14,10.83,100,76
RU,Nikolskoye,-3.92,59.7,5.0,79,0
MX,Guerrero Negro,19.8,27.97,4.93,65,48
BR,Arraial do Cabo,25.0,-22.97,3.83,78,40
PF,Rikitea,26.67,-23.12,7.18,97,20
IN,Vaini,22.12,15.34,0.53,94,92
RU,Khatanga,-4.08,71.98,4.78,90,76
US,Bethel,3.76,60.79,8.7,93,90
RU,Borogontsy,-16.36,62.67,1.88,65,36
UY,Chuy,17.65,-33.69,5.83,98,92
RU,Dikson,-1.56,73.51,12.73,94,88
GB,Northam,4.59,51.04,2.18,86,0
US,Kodiak,14.59,39.95,4.1,24,40
PH,San Quintin,23.05,17.54,1.73,60,0
ZA,East London,20.32,-33.02,2.43,100,68
PH,Isabela,25.97,10.2,1.88,85,56
BR,Itarare,22.22,-24.11,1.79,98,88
SE,Hassleholm,1.95,56.16,2.6,69,12
RS,Mana,2.4,43.52,1.5,65,0
AU,Port Hedland,26.0,-20.31,2.6,100,64
NG,Abonnema,24.0,4.71,1.0,94,75
BR,Correntina,22.3,-13.34,1.43,90,92
GB,Broome,6.37,52.47,2.1,81,0
AU,Mildura,18.0,-34.18,2.6,42,0
EG,Sohag,9.65,26.55,2.18,46,0
CL,Coquimbo,14.0,-29.95,3.1,87,90
ID,Meulaboh,26.45,4.14,1.23,100,88
NO,Longyearbyen,-6.0,78.22,4.6,67,75
AU,New Norfolk,15.9,-42.78,4.6,44,0
US,Albany,0.51,42.65,6.7,24,1
MX,Acapulco,28.0,16.86,3.6,74,5
RU,Puksoozero,-4.13,62.59,3.43,77,76
LK,Weligama,24.52,5.97,2.53,100,0
IS,Grindavik,4.16,63.84,7.7,80,75
IN,Kavaratti,28.57,10.57,3.33,100,0
CA,Torbay,-4.44,47.66,5.1,67,90
MM,Mae Hong Son,18.57,19.3,0.88,88,8
CN,Changping,8.93,40.22,4.0,45,0
PG,Goroka,18.17,-6.07,1.03,91,88
US,Port Elizabeth,4.58,39.31,1.5,43,1
RU,Tiksi,-23.23,71.64,1.33,68,0
GA,Port-Gentil,27.0,-0.72,1.5,94,20
AU,Hobart,15.9,-42.88,4.6,44,0
US,Kapaa,24.36,22.08,2.6,69,90
CV,Sao Filipe,20.9,14.9,5.38,100,0
US,Winder,13.18,33.99,2.6,71,90
ZA,Port Alfred,18.67,-33.59,4.18,93,36
IN,Phek,14.4,25.7,0.73,97,92
CL,Castro,16.0,-42.48,1.5,67,0
EC,Puerto Ayora,27.43,-0.74,5.7,74,75
GL,Tasiilaq,-5.0,65.61,6.2,57,24
PG,Kimbe,27.05,-5.56,0.73,100,20
AR,San Pedro,15.56,-33.68,0.89,77,0
VN,Soc Trang,26.0,9.6,2.1,88,20
RU,Beringovskiy,-0.13,63.05,12.93,95,76
ZM,Senanga,22.67,-16.1,2.73,59,44
US,Wilmington,4.97,39.75,3.1,24,1
PE,Pisco,22.0,-13.71,8.2,30,0
OM,Salalah,26.0,17.01,2.1,78,75
ET,Lebu,18.0,8.96,3.1,55,20
LY,Surt,14.72,31.21,2.98,93,0
PH,Sabang,26.02,13.72,5.68,89,92
RU,Mokrous,1.27,51.24,2.98,91,92
RU,Kargasok,-3.08,59.06,3.13,83,20
US,Makakilo City,25.88,21.35,4.6,54,90
RU,Listvyanka,-11.66,51.86,2.0,78,0
JP,Ayabe,10.76,35.36,4.1,100,0
KZ,Beyneu,3.47,45.32,3.93,66,56
CO,Manaure,27.0,11.78,6.2,78,0
RU,Udachnyy,-8.86,66.42,2.23,89,88
ID,Kupang,28.0,-10.16,1.5,88,75
CN,Changji,14.4,32.07,1.83,85,76
BR,Matelandia,22.0,-25.24,2.6,60,0
GB,Scarborough,8.28,54.28,3.1,75,0
NZ,Tuatapere,12.78,-46.13,8.94,74,56
GB,Ullapool,10.03,57.9,5.81,90,92
US,Kenai,7.78,60.55,4.1,52,1
MG,Antsohihy,22.95,-14.88,1.68,100,44
SI,Fram,0.2,46.45,1.0,74,12
SN,Gat,19.0,14.69,5.7,82,0
FR,Saint-Pierre,3.82,48.95,0.5,80,0
RU,Chernyshevskiy,-14.83,63.01,1.33,73,20
ES,Fortuna,9.46,38.18,2.1,53,0
RU,Ostrovnoy,-7.88,68.05,6.03,84,0
ZA,Kruisfontein,14.95,-34.0,3.68,85,12
RU,Verkhoyansk,-21.03,67.55,1.23,54,0
RU,Saskylakh,-9.56,71.97,2.28,76,76
CN,Mujiayingzi,-2.98,42.12,2.78,54,0
AR,Puerto Madryn,17.07,-42.77,9.28,74,0
UA,Novikovo,4.55,45.05,1.73,98,68
NZ,Waharoa,23.57,-37.76,3.78,37,92
ES,Teguise,16.0,29.06,0.5,87,20
CF,Gamboula,21.17,4.12,1.28,82,0
NG,Matagami,19.62,9.67,2.63,38,32
CA,Pangnirtung,-18.98,66.15,2.88,81,36
MX,Cabo San Lucas,24.89,22.89,5.7,29,75
RU,Sangar,-19.06,63.92,1.08,70,0
BB,Bathsheba,26.0,13.22,9.8,69,40
NZ,Okato,21.74,-39.19,7.6,72,92
US,Ojinaga,26.69,29.56,6.7,30,40
ID,Indramayu,20.97,-4.05,0.78,93,56
IS,Hofn,4.12,64.25,6.98,92,0
AR,Bahia Blanca,14.8,-38.72,4.38,86,0
MG,Sambava,27.55,-14.27,1.93,100,12
AR,Rio Gallegos,15.0,-51.62,2.1,47,0
AR,Barrow,11.12,-38.31,3.78,73,0
IS,Vestmannaeyjar,5.22,63.44,9.08,85,92
NG,Eruwa,26.55,7.53,3.78,69,12
US,Polson,7.99,47.69,5.1,65,40
CA,Norman Wells,5.0,65.28,2.6,56,20
ES,Los Llanos de Aridane,15.37,28.66,3.1,72,80
IN,Rampura,15.42,24.47,0.98,93,0
AU,Codrington,20.4,-28.95,5.7,94,90
KR,Seoul,10.61,37.57,1.5,66,90
IN,Along,12.72,28.17,0.68,96,92
BO,Tipuani,18.72,-15.56,0.23,92,92
MU,Bambous Virieux,25.48,-20.34,1.0,88,75
RU,Ust-Nera,-15.11,64.57,1.08,67,36
ZA,Oranjemund,15.77,-28.55,1.58,93,0
US,Placer,14.22,42.63,1.08,44,1
FR,Villeneuve-sur-Lot,6.22,44.41,1.5,49,0
KY,Bodden Town,26.48,19.28,4.1,83,20
VU,Isangel,31.0,-19.55,5.1,62,40
DZ,Adrar,19.0,27.87,5.1,82,75
IN,Malkapur,17.92,20.89,3.33,43,0
RU,Deputatskiy,-20.13,69.3,1.83,74,20
RU,Batagay-Alyta,-22.43,67.8,1.18,58,0
RU,Barguzin,-18.93,53.62,0.93,63,0
ID,Pringsewu,22.97,-5.36,1.13,95,64
NO,Kopervik,6.61,59.28,6.7,93,92
GF,Cayenne,26.0,4.94,2.1,78,40
MV,Hithadhoo,28.05,-0.6,2.53,100,68
FR,Saint-Joseph,5.7,43.56,2.1,56,0
MR,Nouakchott,18.0,18.08,4.1,88,0
RU,Shestakovo,-11.98,56.49,1.33,70,80
CO,Cordoba,12.62,5.59,0.73,90,44
US,Nome,21.68,30.04,3.6,40,1
NU,Alofi,29.0,-19.06,7.2,66,75
CA,Clyde River,-25.0,70.47,1.0,75,1
MV,Mahibadhoo,28.9,3.78,4.43,100,0
NZ,Kaitangata,13.57,-46.28,10.23,76,12
PH,Marawi,25.56,8.0,0.89,75,0
RU,Novyy Urengoy,0.37,66.08,9.88,92,92
CD,Kindu,21.45,-2.95,0.33,97,68
MV,Thinadhoo,28.2,0.53,2.58,100,36
BR,Ponta do Sol,22.15,-20.63,2.68,71,32
CN,Hami,3.17,42.84,1.48,84,0
AO,Catabola,16.97,-12.14,0.98,92,56
GL,Ilulissat,-12.0,69.22,4.1,72,80
AU,Emerald,26.85,-23.53,5.7,74,75
NO,Mehamn,-5.63,71.03,2.33,83,64
US,Baker City,10.04,44.77,3.6,40,75
US,Hilo,22.22,19.71,5.1,57,20
RU,Oktyabrskiy,-1.54,55.61,3.0,86,0
UY,Juan Lacaze,13.33,-34.43,0.89,81,0
PT,Campos,15.44,41.54,5.1,20,0
LY,Jalu,11.4,29.03,1.23,46,0
CN,Zhangjiakou,1.17,40.77,2.48,56,8
MX,Constitucion,27.12,23.99,3.1,10,75
AU,Roebourne,26.3,-20.77,2.63,96,8
SE,Karlskrona,-3.0,56.16,1.83,92,0
CD,Lusambo,20.82,-4.97,0.28,99,76
PT,Vila Franca do Campo,13.33,37.72,7.2,71,20
GL,Upernavik,-15.48,72.79,1.88,100,48
GH,Axim,28.17,4.87,3.33,98,8
MX,Etchoropo,26.49,26.77,1.79,47,20
ID,Bambanglipuro,24.67,-7.95,1.08,95,76
AO,Luanda,26.0,-8.83,1.5,88,75
BS,Dunmore Town,25.07,25.5,3.63,100,32
US,Isla Vista,17.48,34.41,5.7,77,1
GR,Saint George,11.43,39.45,1.08,81,75
CA,Saint-Philippe,-1.8,45.36,3.58,39,1
CA,Havre-Saint-Pierre,-11.0,50.23,3.1,51,40
US,Half Moon Bay,17.07,37.46,6.2,63,90
PT,Saldanha,9.57,41.42,6.68,31,0
RU,Karpogory,-1.43,64.0,2.23,90,88
US,Coos Bay,13.22,43.37,3.1,71,1
EG,Aswan,17.0,24.09,2.6,21,0
FR,Albertville,1.9,45.68,1.5,48,0
BR,Maceio,24.0,-9.67,1.5,88,75
US,Estelle,19.55,32.87,3.1,37,20
ZA,Carnarvon,13.17,-30.97,3.78,47,44
CA,Iqaluit,-18.0,63.75,7.7,59,40
RU,Lavrentiya,0.62,65.58,13.98,95,88
RU,Egvekinot,-2.88,66.32,7.33,88,76
ES,Tarrega,6.75,41.65,2.6,80,0
AU,Port Lincoln,17.8,-34.72,1.88,93,0
NO,Havoysund,-3.0,71.0,9.8,63,0
CA,Chapais,-5.0,49.78,3.1,27,1
MG,Beroroha,22.27,-21.68,1.33,86,76
UA,Lityn,0.77,49.32,7.08,89,88
AU,Bundaberg,28.77,-24.87,3.6,83,40
RU,Bezhetsk,-6.28,57.78,3.68,83,56
PH,Paracale,26.72,14.28,8.98,100,76
BR,Cidreira,19.7,-30.17,2.93,82,88
RU,Zarya,6.11,45.67,1.28,59,0
US,Toccoa,11.17,34.58,4.1,76,90
DK,Vordingborg,5.65,55.01,1.5,80,64
OM,Nizwa,15.07,22.93,1.88,65,76
MG,Ihosy,15.15,-22.4,0.38,94,8
US,Guymon,18.87,36.68,8.7,59,1
JP,Kaseda,10.04,31.42,1.5,100,20
TT,Esperance,26.09,10.24,3.6,74,20
CA,Hudson Bay,9.62,52.86,1.63,72,12
RU,Turochak,-12.11,52.26,0.98,64,0
RU,Gubskaya,-3.53,44.32,1.73,71,0
RU,Komsomolskiy,-1.13,67.55,6.93,94,88
CN,Amurzet,-3.83,47.69,4.48,73,0
LK,Kalmunai,19.42,7.42,1.23,97,0
AU,Alice Springs,21.0,-23.7,5.1,35,32
AU,Broken Hill,17.0,-31.97,4.1,51,0
US,Saint Anthony,12.47,43.97,9.3,30,1
MM,Pathein,22.4,16.78,2.18,92,24
CL,Tocopilla,17.92,-22.09,2.08,99,12
MX,Ahome,27.9,25.92,4.6,24,75
PE,Paita,26.07,-5.09,3.23,62,8
LK,Hambantota,26.02,6.12,3.88,100,0
JP,Numata,6.72,36.65,2.58,41,0
DE,Eberbach,4.7,49.46,1.79,87,48
TW,Yilan,21.87,24.75,0.5,77,75
AT,Fugen,0.52,47.35,1.0,69,75
TR,Nusaybin,2.57,37.08,1.23,87,24
IN,Dharchula,-0.36,29.85,0.78,57,0
RU,Yar-Sale,0.05,66.83,9.58,91,80
US,La Grande,10.9,45.32,1.48,52,1
RU,Cherskiy,-11.81,68.75,6.88,76,68
CA,Inuvik,4.17,68.36,3.1,69,20
RU,Ust-Kuyga,-23.23,70.0,1.68,67,20
SA,Turayf,7.0,31.68,1.5,87,0
US,Pierre,9.5,44.37,4.6,76,1
MX,Eldorado,28.88,24.32,3.1,40,75
CA,Nelson,1.32,49.49,1.03,75,92
CD,Lodja,23.02,-3.52,0.98,91,88
CN,Xining,-7.11,36.62,1.13,76,48
GY,Skeldon,26.37,5.88,6.18,98,8
CA,Bonavista,-3.33,48.65,2.24,73,56
PH,Mananum,25.56,8.83,0.89,75,92
PW,Kloulklubed,27.0,7.04,3.6,83,90
RU,Pevek,-6.06,69.7,1.53,80,76
EE,Vao,-4.61,59.1,3.33,82,0
PY,San Patricio,20.82,-26.98,2.78,51,44
CL,Ancud,16.0,-41.87,1.5,67,0
ID,Amahai,28.9,-3.31,2.13,100,12
CN,Daokou,3.37,35.61,2.53,57,88
AU,Alyangula,26.0,-13.85,3.1,94,75
SA,Faya,15.03,18.39,4.1,76,0
US,Pacific Grove,16.93,36.62,2.1,67,90
BR,Itarema,25.27,-2.92,1.68,92,44
CA,Hornepayne,-0.46,49.22,4.48,48,36
PE,Hualmay,20.7,-11.1,1.98,78,8
AT,Kitzbuhel,1.32,47.45,4.1,65,75
ES,Bereda,7.7,43.27,3.1,57,0
US,New Ulm,8.76,44.31,3.6,70,90
BR,Vila Velha,26.95,-3.71,1.0,83,40
MG,Ambanja,21.52,-13.68,1.03,96,8
US,Kahului,24.2,20.89,2.6,73,90
VN,Thai Binh,22.0,20.45,1.0,100,90
CO,Puerto Colombia,26.39,10.99,6.7,74,20
CA,Geraldton,2.0,49.72,7.2,31,75
ES,San Javier,11.93,37.81,5.7,62,0
DE,Erbach,3.21,48.33,1.33,69,75
GB,Yarmouth,5.26,50.71,1.0,93,0
TL,Airai,23.7,-8.93,0.88,89,48
RU,Purpe,-0.57,64.48,1.79,82,92
MA,Marrakesh,14.0,31.63,1.0,87,75
US,Moses Lake,14.52,47.13,4.1,23,1
MZ,Mocuba,20.97,-16.84,1.18,91,0
ID,Atambua,27.12,-9.11,1.23,100,36
IN,Nongstoin,13.92,25.52,0.98,96,0
GL,Narsaq,-6.0,60.91,6.2,62,44
LA,Phonhong,24.0,18.5,1.0,100,40
RU,Tommot,-12.63,58.97,2.53,72,68
AR,Necochea,13.89,-38.55,0.45,71,0
DK,Hvide Sande,6.93,56.01,5.7,93,92
IN,Pasighat,13.57,28.06,0.78,98,92
PE,Juliaca,12.0,-15.49,2.6,46,75
NG,Bara,24.8,10.41,4.43,26,0
NA,Luderitz,15.37,-26.65,3.88,89,24
BR,Ibirama,20.56,-27.05,1.98,90,92
IR,Sonqor,6.0,34.78,1.28,87,90
TW,Qingquan,21.66,24.58,4.1,88,75
RU,Klyuchi,-0.36,52.25,4.68,70,76
US,Salina,17.54,36.29,1.18,44,1
RU,Severo-Kurilsk,-1.36,50.68,2.48,97,48
US,Wagar,13.89,31.44,3.83,76,0
SB,Kirakira,28.77,-10.46,3.08,100,8
US,Stephenville,20.42,32.22,3.1,40,1
US,Emporia,15.7,38.4,4.1,48,90
MM,Myitkyina,16.57,25.38,1.88,95,12
NC,Voh,27.57,-20.95,4.38,89,0
RU,Anadyr,-1.07,64.73,16.0,92,90
JP,Sakaiminato,10.1,35.55,2.1,81,20
BA,Letka,7.0,43.74,1.0,65,20
BR,Parnamirim,26.47,-5.92,1.5,83,20
ID,Kalianget,25.0,-7.35,1.0,94,20
FI,Sola,-7.99,62.78,2.1,85,0
BR,Sao Felix do Xingu,22.67,-6.64,0.98,98,80
ID,Banda Aceh,24.42,5.56,1.18,99,32
MR,Nouadhibou,19.0,20.93,2.1,88,0
CA,Port Hardy,10.0,50.7,6.7,71,40
BR,Caarapo,22.97,-22.63,4.13,70,0
KZ,Karabulak,1.92,44.91,1.28,67,48
NZ,Dunedin,12.22,-45.87,8.49,91,92
FR,Souillac,6.68,45.6,4.1,61,0
UA,Male,-3.28,50.74,1.18,79,20
US,Valparaiso,4.38,41.47,2.6,44,1
NO,Honningsvag,-2.78,70.98,4.53,100,36
BR,Sao Joao da Barra,25.0,-21.64,2.1,73,0
AU,Nhulunbuy,30.0,-12.18,1.5,70,40
RU,Borovichi,-4.13,58.39,5.23,84,76
CM,Mbalmayo,23.0,3.52,2.6,100,75
RU,Okhotsk,-4.03,59.36,2.43,77,48
PF,Tautira,30.77,-17.73,4.6,66,75
US,Homestead,24.66,25.47,3.6,65,75
US,Saint Albans,-3.44,44.81,2.6,33,1
PG,Kavieng,29.47,-2.57,3.33,98,36
BW,Khakhea,19.67,-24.69,2.58,27,0
AU,Yulara,20.0,-25.24,6.7,34,0
BR,Santa Maria,17.0,-29.69,0.5,77,0
MY,George Town,26.26,5.42,1.5,78,75
CN,Alihe,-8.06,50.57,1.98,45,0
ZW,Bulawayo,19.65,-20.16,5.63,83,44
ID,Jember,25.67,-8.17,1.58,100,56
RU,Mokhsogollokh,-14.23,61.4,3.03,70,48
IT,Rome,10.92,41.89,2.6,57,75
US,Harlingen,21.5,26.19,5.1,78,75
CN,Suihua,-4.21,46.64,2.48,46,0
RU,Talnakh,-1.93,69.49,8.83,93,92
KG,At-Bashi,-8.86,41.17,1.48,70,64
CN,Manzhouli,-10.36,49.6,3.33,32,0
AU,Bowen,29.86,-20.01,2.1,74,40
CA,Moose Factory,1.0,51.26,4.6,43,90
RU,Batagay,-19.88,67.65,1.53,62,24
US,Charleston,7.8,38.35,2.1,21,1
IR,Kuhdasht,8.0,33.53,4.1,93,90
PH,Dingle,25.45,11.0,4.33,86,48
CA,Port-Cartier,-9.28,50.03,3.6,40,40
BR,Imbituba,21.0,-28.24,2.1,83,75
ET,Gambela,17.82,8.25,1.23,85,12
SE,Ostersund,-0.72,63.18,4.1,92,92
CL,Coihaique,14.0,-45.58,1.0,76,0
KG,Kyzyl-Suu,-1.21,42.34,1.28,100,8
TZ,Kilindoni,28.9,-7.91,1.93,100,80
RU,Toora-Khem,-15.21,52.47,1.03,67,0
FR,Veraval,2.86,49.65,1.5,93,0
BR,Sao Jose da Coroa Grande,26.3,-8.9,2.33,93,88
ES,Cartagena,11.97,37.63,5.7,62,0
PG,Porgera,17.07,-5.46,0.63,88,20
RU,Parabel,-5.13,58.71,3.68,86,8
AU,Cairns,27.81,-16.92,2.6,74,40
NO,Sistranda,5.9,63.73,10.3,93,75
BW,Maun,21.0,-19.99,1.0,60,0
SA,Umm Lajj,14.12,25.02,1.43,100,0
US,Nuevo Progreso,21.51,26.05,6.7,88,90
JP,Shimoda,12.37,34.7,3.1,58,20
ZA,Richards Bay,20.07,-28.77,1.93,90,92
RU,Neryungri,-13.73,56.66,4.08,68,44
ZM,Mufumbwe,18.12,-13.68,1.33,89,56
GE,Vani,2.0,42.09,1.0,93,0
RU,Polunochnoye,-1.96,60.87,4.33,75,0
RU,Bilibino,-6.61,68.06,1.63,80,68
NC,Thio,30.0,-21.61,2.1,58,40
US,Jackson,11.79,35.61,5.1,30,1
HN,Iralaya,27.0,15.0,4.1,78,40
RU,Kargopol,-4.03,61.51,3.88,87,76
BR,Pitimbu,24.0,-7.47,0.5,94,75
AR,Viedma,13.82,-40.81,4.83,61,0
BR,Piacabucu,26.57,-10.41,3.23,85,92
CA,North Augusta,-1.97,44.76,3.1,46,1
CA,Albanel,-4.0,48.88,5.1,29,5
SB,Honiara,28.42,-9.43,1.23,82,32
MZ,Angoche,26.57,-16.23,4.93,100,76
RU,Tokur,-11.48,53.13,1.43,52,36
TR,Trabzon,5.0,41.01,2.1,86,0
SA,Riyadh,14.0,24.63,1.0,44,0
EG,Port Said,11.72,25.34,2.53,35,0
BR,Benjamin Constant,25.49,-4.38,2.13,83,0
US,Southbridge,1.6,42.08,3.6,22,1
RU,Togur,-7.71,58.36,3.93,85,8
BG,Kavarna,7.0,43.43,1.5,75,0
SD,Kutum,15.87,14.2,3.28,30,0
US,North Bend,12.76,43.41,3.1,71,1
CA,Cap-aux-Meules,-6.0,47.38,5.1,57,20
PH,Solano,21.2,16.52,1.43,65,32
IT,Cagli,7.4,43.55,6.7,76,0
RU,Arman,-9.11,59.7,3.53,65,68
PT,Lagoa,15.52,37.14,9.3,72,40
CZ,Carlsbad,1.85,50.23,2.6,94,90
AR,San Carlos de Bariloche,17.0,-41.13,2.6,17,0
CY,Lasa,10.55,34.92,3.6,76,92
RU,Sobolevo,-6.98,54.43,1.53,70,24
AO,Benguela,26.45,-12.58,3.38,100,80
ZM,Mwinilunga,17.15,-11.73,0.98,93,76
IN,Kattivakkam,25.0,13.22,1.5,88,0
BR,Sao Gabriel da Cachoeira,26.45,-0.13,1.73,81,48
AU,Manyana,19.17,-35.26,3.6,63,75
UA,Lyubymivka,6.05,46.81,2.78,87,88
NG,Yaan,26.77,7.38,4.23,60,20
EC,Machachi,15.8,-0.51,1.5,67,75
IN,Tura,15.12,25.52,1.13,91,0
RU,Ossora,-7.81,59.24,4.93,97,36
US,Brigantine,4.15,39.41,1.5,44,1
BR,Pimentel,24.4,-3.7,0.43,95,68
RU,Uzhur,-11.73,55.32,1.53,62,0
CL,San Felipe,14.65,-32.75,0.68,76,20
ID,Ambulu,25.67,-8.35,1.58,100,56
AM,Saravan,5.0,39.72,2.1,75,90
CN,Hailar,-9.78,49.2,4.78,41,0
PF,Fare,27.72,-16.7,2.43,100,64
US,Harper,22.73,30.3,2.6,29,1
NO,Hovd,4.46,63.83,10.3,93,75
RU,Khuzhir,-10.08,53.19,2.48,79,0
MX,Todos Santos,24.77,23.45,6.2,29,40
RU,Teguldet,-8.81,57.31,2.68,77,0
TR,Bahce,11.0,37.2,7.2,71,75
RU,Zhigansk,-19.03,66.77,2.93,71,0
MT,Dingli,13.42,35.86,2.1,87,0
VE,Guasdualito,32.22,7.24,2.83,35,20
RU,Kodinsk,-7.81,58.6,1.08,85,76
PF,Tiarei,30.77,-17.53,4.6,66,75
JP,Nemuro,2.0,43.32,8.2,55,75
US,Coachella,23.12,33.68,1.5,7,1
RU,Kuloy,-3.06,61.03,1.33,94,92
CL,Talcahuano,12.0,-36.72,3.1,93,90
MX,Pijijiapan,30.32,15.69,0.73,29,0
KZ,Aksu,1.0,52.04,3.0,86,75
BR,Canutama,27.3,-6.53,2.08,82,8
AR,Comodoro Rivadavia,18.0,-45.87,5.48,55,0
SO,Mogadishu,28.55,2.04,7.03,96,8
CM,Nanga Eboko,24.05,4.68,4.13,77,0
PT,Ponta Delgada,13.31,37.73,7.2,71,20
CL,Taltal,16.67,-25.41,0.53,81,0
RU,Poyarkovo,-5.11,49.62,5.08,42,0
VN,Phan Thiet,27.22,10.93,7.33,85,0
TD,Kibala,27.0,9.11,5.28,69,20
US,California City,19.87,35.13,9.8,10,75
TZ,Mwanza,22.0,-2.52,3.23,83,75
AR,La Rioja,14.8,-29.41,1.78,96,92
AU,Mount Gambier,13.0,-37.83,3.1,87,90
VE,Moron,23.77,10.49,1.78,71,0
ID,Biak,27.27,-0.91,0.88,93,64
CO,Mapiripan,30.92,2.89,2.03,44,8
MN,Darhan,-12.93,49.49,1.28,65,0
GA,Omboue,28.57,-1.57,4.23,100,64
US,Huntsville,12.18,34.73,6.7,37,1
PT,Praia da Vitoria,13.61,38.73,5.68,82,40
RU,Vetluga,0.07,57.85,2.18,95,80
IN,Pilani,13.7,28.36,1.23,57,0
PE,San Jeronimo,8.07,-13.65,0.78,92,48
BR,Jardim,25.95,-21.48,4.23,57,0
AU,Flinders,20.66,-34.58,3.6,63,75
RU,Sotnikovskoye,-1.11,45.0,2.98,90,0
BR,Coruripe,27.67,-10.12,4.13,99,76
JP,Katsuura,11.45,33.93,2.1,61,20
CN,Shache,0.57,38.42,1.43,77,24
US,Merced,18.28,37.3,3.6,63,90
NZ,Maketu,23.22,-37.76,6.26,80,92
CL,Vallenar,16.8,-28.58,0.43,86,8
BZ,Corozal,27.52,18.39,5.1,65,40
PT,Peniche,16.85,39.36,1.0,62,0
RU,Severnyy-Kospashskiy,-2.78,59.09,1.34,76,68
CN,Qingdao,16.0,36.09,3.0,51,0
RU,Labytnangi,-0.71,66.66,8.38,93,88
BR,Parana,25.0,-7.52,2.08,100,90
ID,Martapura,25.0,-3.41,2.6,100,0
